"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$12,049,327,986","0.00%","0.00","0.00","0.00","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$12,024,127,863","0.00%","0.00","0.00","0.00","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$11,786,473,009","5.29%","0.00","0.00","0.00","Analyze"
"GL","Globe Life Inc.","Common stocks","Large cap","Financials","$11,587,802,381","0.69%","0.00","0.00","0.00","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$11,428,502,969","4.06%","0.00","0.00","0.00","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$11,313,056,969","2.89%","0.00","0.00","0.00","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$11,272,554,459","0.56%","0.00","0.00","0.00","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$11,256,759,482","6.79%","0.00","0.00","0.00","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$11,251,318,840","3.74%","0.00","0.00","0.00","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$11,237,737,243","3.35%","0.00","0.00","0.00","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$11,049,904,716","2.66%","0.00","0.00","0.00","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Large cap","Health Care","$11,033,572,605","0.00%","0.00","0.00","0.00","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$11,032,884,697","2.27%","0.00","0.00","0.00","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$10,974,513,200","5.25%","0.00","0.00","0.00","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$10,844,581,071","0.00%","0.00","0.00","0.00","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$10,836,644,941","0.00%","0.00","0.00","0.00","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Large cap","Consumer Discretionary","$10,548,069,722","0.00%","0.00","0.00","0.00","Analyze"
"NWS","News Corp Class B","Common stocks","Large cap","Communication Services","$10,528,610,509","1.08%","0.00","0.00","0.00","Analyze"
"NWSA","News Corp Class A","Common stocks","Large cap","Communication Services","$10,528,610,509","1.10%","0.00","0.00","0.00","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Large cap","Information Technology","$10,376,040,070","2.61%","0.00","0.00","0.00","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Large cap","Financials","$10,355,395,480","1.01%","0.00","0.00","0.00","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$10,286,808,464","0.00%","0.00","0.00","0.00","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$10,189,056,280","5.93%","0.00","0.00","0.00","Analyze"
"EMN","Eastman Chemical","Common stocks","Large cap","Materials","$10,169,183,349","3.54%","0.00","0.00","0.00","Analyze"
"PHM","Pultegroup Inc","Common stocks","Large cap","Consumer Discretionary","$10,160,759,690","1.34%","0.00","0.00","0.00","Analyze"
"CCL","Carnival Corp","Common stocks","Mid cap","Consumer Discretionary","$9,891,963,496","0.00%","0.00","0.00","0.00","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$9,824,112,591","1.84%","0.00","0.00","0.00","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Mid cap","Information Technology","$9,674,583,514","0.00%","0.00","0.00","0.00","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$9,642,458,837","1.64%","0.00","0.00","0.00","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$9,627,122,691","0.00%","0.00","0.00","0.00","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$9,588,262,321","1.45%","0.00","0.00","0.00","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Mid cap","Information Technology","$9,503,248,468","0.00%","0.00","0.00","0.00","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$9,350,196,556","2.02%","0.00","0.00","0.00","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Mid cap","Health Care","$9,348,948,686","0.62%","0.00","0.00","0.00","Analyze"
"WRK","Westrock","Common stocks","Mid cap","Materials","$9,145,435,693","2.82%","0.00","0.00","0.00","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$9,055,005,485","1.91%","0.00","0.00","0.00","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$8,960,512,782","0.00%","0.00","0.00","0.00","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$8,855,327,812","2.16%","0.00","0.00","0.00","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Mid cap","Consumer Discretionary","$8,816,339,749","3.71%","0.00","0.00","0.00","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Industrials","$8,806,157,019","0.00%","0.00","0.00","0.00","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,781,942,557","4.32%","0.00","0.00","0.00","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,704,844,054","2.98%","0.00","0.00","0.00","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$8,565,597,727","4.11%","0.00","0.00","0.00","Analyze"
"CTLT","Catalent Inc","Common stocks","Mid cap","Health Care","$8,497,880,673","0.00%","0.00","0.00","0.00","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$8,349,845,403","3.88%","0.00","0.00","0.00","Analyze"
"HAS","Hasbro Inc","Common stocks","Mid cap","Consumer Discretionary","$8,292,347,869","4.56%","0.00","0.00","0.00","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,016,956,825","2.31%","0.00","0.00","0.00","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$7,777,329,817","4.82%","0.00","0.00","0.00","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$7,674,032,935","1.86%","0.00","0.00","0.00","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Mid cap","Communication Services","$7,668,704,547","0.00%","0.00","0.00","0.00","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$7,634,932,554","4.17%","0.00","0.00","0.00","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$7,578,607,578","1.52%","0.00","0.00","0.00","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$7,440,888,400","2.59%","0.00","0.00","0.00","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$7,387,621,078","1.86%","0.00","0.00","0.00","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$7,093,406,353","1.91%","0.00","0.00","0.00","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$7,039,515,326","3.32%","0.00","0.00","0.00","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$6,817,895,912","2.12%","0.00","0.00","0.00","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$6,742,183,000","0.00%","0.00","0.00","0.00","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$6,633,823,787","4.18%","0.00","0.00","0.00","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$6,514,783,706","0.00%","0.00","0.00","0.00","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$6,395,777,727","1.62%","0.00","0.00","0.00","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,124,336,236","0.00%","0.00","0.00","0.00","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,087,195,606","0.00%","0.00","0.00","0.00","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$5,969,921,570","5.03%","0.00","0.00","0.00","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Mid cap","Industrials","$5,748,959,917","0.00%","0.00","0.00","0.00","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Mid cap","Communication Services","$5,628,130,666","13.48%","0.00","0.00","0.00","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$5,616,379,157","0.00%","0.00","0.00","0.00","Analyze"
"NWL","Newell Brands Inc","Common stocks","Mid cap","Consumer Discretionary","$5,298,216,000","7.03%","0.00","0.00","0.00","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$4,083,777,202","9.66%","0.00","0.00","0.00","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Mid cap","Health Care","$3,165,683,117","0.40%","0.00","0.00","0.00","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Small cap","Consumer Staples","$780,115,241","2.84%","0.00","0.00","0.00","Analyze"
